Production Model,Version,Defect Type,Defect Observation Area,QA Worker,Shift Time,Component Category,Fixture ID,Inspection Week,Production Order Priority
Model 595532-132,04,insufficient solder,QA Inspection Station,Leena,Morning,Diode,FX-042,2025-W30,Low
Model 595858-658,04,component misalignment,Production Line 2,Sloane,Afternoon,Resistor,FX-018,2025-W25,Low
Model 595214-125,02,solder bridge,Production Line 3,Geofrey,Afternoon,Transistor,FX-044,2025-W02,Medium
Model 595532-132,03,no property assembled,Production Line 3,Leena,Afternoon,Diode,FX-012,2025-W21,Low
Model 595204-792,03,pin damaged,Final Assembly Line,Mel,Night,Transistor,FX-020,2025-W13,Low
Model 595242-854,02,damaged component,Production Line 1,Tristian,Afternoon,Resistor,FX-038,2025-W06,High
Model 595859-381,03,missing/unknown,Unknown,Davonte,Morning,Transistor,FX-023,2025-W36,Medium
Model 595859-381,04,damaged component,Production Line 2,Leena,Afternoon,Transistor,FX-013,2025-W40,High
Model 595859-381,02,component height/titled,QA Inspection Station,Leena,Morning,Connector,FX-034,2025-W33,High
Model 595130-195,01,damaged/ lifted pad,Unknown,Tristian,Morning,Diode,FX-040,2025-W26,Low
Model 595130-195,05,bad modules,QA Inspection Station,Sloane,Afternoon,Capacitor,FX-008,2025-W45,Medium
Model 595130-195,01,insufficient solder,Production Line 1,Zoya,Afternoon,Capacitor,FX-036,2025-W19,High
Model 595532-132,05,no property assembled,QA Inspection Station,Darci,Morning,Connector,FX-020,2025-W06,High
Model 595130-195,02,component misalignment,Unknown,Xiang Liang,Afternoon,Capacitor,FX-008,2025-W33,Medium
Model 595214-125,02,wrong component,Production Line 3,Leena,Night,Transistor,FX-047,2025-W23,Medium
Model 595214-125,02,component height/titled,Production Line 3,Tristian,Morning,Diode,FX-043,2025-W30,Medium
Model 595214-125,05,wrong component,Production Line 3,Zoya,Morning,Transistor,FX-016,2025-W47,Medium
Model 595204-792,01,component misalignment,Production Line 1,Leena,Morning,Capacitor,FX-005,2025-W14,Medium
Model 595242-854,02,component broken,Production Line 3,Davonte,Morning,Transistor,FX-049,2025-W36,High
Model 595130-195,01,bad modules,Final Assembly Line,Mel,Night,Connector,FX-029,2025-W20,Medium
Model 595242-854,04,lifted component,Production Line 3,Zoya,Night,Capacitor,FX-023,2025-W35,High
Model 595859-381,03,wrong component,Final Assembly Line,Mel,Morning,Transistor,FX-032,2025-W19,High
Model 595323-328,02,pin damaged,Production Line 2,Alaine,Afternoon,Resistor,FX-036,2025-W42,High
Model 595242-854,01,lifted component,QA Inspection Station,Davonte,Morning,Resistor,FX-005,2025-W13,Low
Model 595242-854,01,missing/unknown,Final Assembly Line,Daysha,Afternoon,Resistor,FX-022,2025-W50,Medium
Model 595242-854,03,defective component,Final Assembly Line,Mel,Morning,Connector,FX-036,2025-W52,Medium
Model 595859-381,04,pin damaged,Final Assembly Line,Tristian,Afternoon,Connector,FX-022,2025-W17,High
Model 595130-195,05,component misalignment,Final Assembly Line,Mel,Night,Connector,FX-030,2025-W50,Low
Model 595532-132,01,solder bridge,Unknown,Xiang Liang,Afternoon,Capacitor,FX-046,2025-W01,Low
Model 595214-125,02,reversed component,Production Line 2,Geofrey,Afternoon,Connector,FX-016,2025-W25,High
Model 595323-328,03,missing/unknown,Unknown,Zoya,Morning,Capacitor,FX-018,2025-W24,Low
Model 595323-328,01,excessive solder,Production Line 3,Tristian,Afternoon,Capacitor,FX-002,2025-W47,High
Model 595130-195,05,wrong configuration,Final Assembly Line,Sloane,Afternoon,Capacitor,FX-043,2025-W03,High
Model 595130-195,01,no property assembled,Production Line 1,Davonte,Night,Resistor,FX-032,2025-W27,High
Model 595323-328,04,long terminals,Final Assembly Line,Darci,Afternoon,Capacitor,FX-006,2025-W41,Low
Model 595214-125,02,solder bridge,Unknown,Mel,Morning,Capacitor,FX-031,2025-W22,Medium
Model 595130-195,02,component misalignment,Production Line 3,Zoya,Afternoon,Transistor,FX-021,2025-W21,Medium
Model 595130-195,03,missing component,Production Line 3,Geofrey,Afternoon,Connector,FX-024,2025-W39,High
Model 595242-854,03,component broken,Unknown,Darci,Afternoon,Capacitor,FX-019,2025-W21,Low
Model 595214-125,03,solder bridge,Production Line 3,Leena,Morning,Resistor,FX-004,2025-W46,Medium
Model 595242-854,01,lifted component,Unknown,Leena,Afternoon,Connector,FX-024,2025-W37,Low
Model 595242-854,04,solder bridge,Unknown,Mel,Afternoon,Diode,FX-008,2025-W18,Low
Model 595214-125,05,component height/titled,Unknown,Davonte,Morning,Transistor,FX-031,2025-W14,High
Model 595859-381,01,reversed component,Production Line 1,Daysha,Night,Transistor,FX-016,2025-W14,Medium
